num_date_time,answer
1_20240828 09,5650.539
1_20240828 10,5750.1343
1_20240828 11,5329.187
1_20240828 12,5843.017
1_20240828 13,6409.0444
1_20240828 14,6370.8125
1_20240828 15,6413.466
1_20240828 16,6555.5366
1_20240828 17,6920.5986
1_20240828 18,7151.518
1_20240828 19,6930.1084
1_20240828 20,5284.181
1_20240828 21,4572.236
1_20240828 22,5900.1016
1_20240828 23,6281.2104
1_20240829 00,5463.6333
1_20240829 01,4745.929
1_20240829 02,4402.6245
1_20240829 03,3848.7075
1_20240829 04,3613.8958
1_20240829 05,3481.182
1_20240829 06,3504.0125
1_20240829 07,4035.4954
1_20240829 08,4597.7256
1_20240829 09,5639.716
1_20240829 10,5713.4634
1_20240829 11,5515.9507
1_20240829 12,6278.4556
1_20240829 13,6417.2964
1_20240829 14,6087.952
1_20240829 15,6235.652
1_20240829 16,6491.499
1_20240829 17,6931.302
1_20240829 18,7169.12
1_20240829 19,6907.388
1_20240829 20,5690.8257
1_20240829 21,3937.2947
1_20240829 22,5557.383
1_20240829 23,5469.562
1_20240830 00,5086.547
1_20240830 01,4929.755
1_20240830 02,4386.057
1_20240830 03,3794.811
1_20240830 04,3370.2073
1_20240830 05,3404.666
1_20240830 06,3495.2195
1_20240830 07,3750.022
1_20240830 08,4719.343
1_20240830 09,5794.0483
1_20240830 10,5486.4844
1_20240830 11,5134.4097
1_20240830 12,5728.568
1_20240830 13,6084.4634
1_20240830 14,6247.939
1_20240830 15,6254.103
1_20240830 16,6249.2217
1_20240830 17,6885.7183
1_20240830 18,7208.5283
1_20240830 19,6846.654
1_20240830 20,5552.431
1_20240830 21,4541.873
1_20240830 22,5777.7812
1_20240830 23,5993.543
1_20240831 00,5450.82
1_20240831 01,5015.6484
1_20240831 02,4479.723
1_20240831 03,4042.7075
1_20240831 04,3815.134
1_20240831 05,3857.729
1_20240831 06,3805.6895
1_20240831 07,4005.865
1_20240831 08,4914.212
1_20240831 09,6014.435
1_20240831 10,6467.8706
1_20240831 11,6791.417
1_20240831 12,6902.406
1_20240831 13,7431.366
1_20240831 14,7581.9263
1_20240831 15,7363.397
1_20240831 16,7342.9424
1_20240831 17,7519.6514
1_20240831 18,7850.071
1_20240831 19,7518.397
1_20240831 20,6105.254
1_20240831 21,4754.8975
1_20240831 22,5100.227
1_20240831 23,5331.4243
2_20240825 00,639.8922
2_20240825 01,575.328
2_20240825 02,596.7681
2_20240825 03,600.95355
2_20240825 04,643.10156
2_20240825 05,787.78864
2_20240825 06,871.7506
2_20240825 07,951.1639
2_20240825 08,1002.76917
2_20240825 09,1024.6394
2_20240825 10,1082.8843
2_20240825 11,1134.8651
2_20240825 12,1153.9152
2_20240825 13,1213.4246
2_20240825 14,1197.281
2_20240825 15,1185.9055
2_20240825 16,1152.2474
2_20240825 17,1124.6425
2_20240825 18,1155.3457
2_20240825 19,1147.6853
2_20240825 20,1089.3695
2_20240825 21,997.5411
2_20240825 22,756.44574
2_20240825 23,660.97314
2_20240826 00,594.5254
2_20240826 01,620.4992
2_20240826 02,591.1133
2_20240826 03,600.39386
2_20240826 04,611.34235
2_20240826 05,729.795
2_20240826 06,819.9344
2_20240826 07,940.8041
2_20240826 08,1041.5295
2_20240826 09,1094.1404
2_20240826 10,1136.97
2_20240826 11,1097.6226
2_20240826 12,1097.8014
2_20240826 13,1104.4451
2_20240826 14,1092.1976
2_20240826 15,1071.9933
2_20240826 16,1069.3483
2_20240826 17,1078.5295
2_20240826 18,1030.3567
2_20240826 19,986.59515
2_20240826 20,928.0395
2_20240826 21,905.11993
2_20240826 22,728.5768
2_20240826 23,602.8631
2_20240827 00,584.06525
2_20240827 01,586.67444
2_20240827 02,575.1758
2_20240827 03,566.5163
2_20240827 04,590.17096
2_20240827 05,704.3389
2_20240827 06,798.1953
2_20240827 07,921.0604
2_20240827 08,996.95245
2_20240827 09,1049.805
2_20240827 10,1092.2352
2_20240827 11,1080.586
2_20240827 12,1119.0348
2_20240827 13,1119.1705
2_20240827 14,1155.918
2_20240827 15,1122.6052
2_20240827 16,1123.4564
2_20240827 17,1128.0629
2_20240827 18,1102.2301
2_20240827 19,1094.7863
2_20240827 20,1039.3044
2_20240827 21,905.961
2_20240827 22,680.4295
2_20240827 23,566.85376
2_20240828 00,572.9804
2_20240828 01,543.3073
2_20240828 02,545.1265
2_20240828 03,543.7208
2_20240828 04,588.8123
2_20240828 05,688.9556
2_20240828 06,831.20355
2_20240828 07,981.92316
2_20240828 08,1005.8203
2_20240828 09,1106.0569
2_20240828 10,1165.4602
2_20240828 11,1170.676
2_20240828 12,1175.9742
2_20240828 13,1210.1
2_20240828 14,1226.7004
2_20240828 15,1227.1996
2_20240828 16,1240.3906
2_20240828 17,1253.1365
2_20240828 18,1189.578
2_20240828 19,1221.0096
2_20240828 20,1168.7184
2_20240828 21,1018.2021
2_20240828 22,726.86475
2_20240828 23,650.3915
2_20240829 00,599.01514
2_20240829 01,572.61945
2_20240829 02,581.69794
2_20240829 03,602.6794
2_20240829 04,610.3887
2_20240829 05,716.91583
2_20240829 06,862.60754
2_20240829 07,992.80176
2_20240829 08,1026.0311
2_20240829 09,1122.3889
2_20240829 10,1144.8828
2_20240829 11,1153.9904
2_20240829 12,1156.4327
2_20240829 13,1175.3594
2_20240829 14,1138.0691
2_20240829 15,1181.0629
2_20240829 16,1179.6337
2_20240829 17,1192.4181
2_20240829 18,1184.9846
2_20240829 19,1179.9844
2_20240829 20,1133.281
2_20240829 21,913.37006
2_20240829 22,801.1309
2_20240829 23,631.18463
2_20240830 00,615.5048
2_20240830 01,578.9603
2_20240830 02,586.6377
2_20240830 03,578.1869
2_20240830 04,594.60333
2_20240830 05,722.4208
2_20240830 06,785.4964
2_20240830 07,939.8375
2_20240830 08,1028.0475
2_20240830 09,1135.4778
2_20240830 10,1152.4952
2_20240830 11,1179.179
2_20240830 12,1168.599
2_20240830 13,1243.2429
2_20240830 14,1296.6359
2_20240830 15,1269.1702
2_20240830 16,1220.0784
2_20240830 17,1240.4281
2_20240830 18,1228.5372
2_20240830 19,1223.286
2_20240830 20,1127.4288
2_20240830 21,1070.6577
2_20240830 22,774.8712
2_20240830 23,672.08624
2_20240831 00,633.33215
2_20240831 01,596.8251
2_20240831 02,574.692
2_20240831 03,554.8363
2_20240831 04,590.1711
2_20240831 05,675.01556
2_20240831 06,804.15735
2_20240831 07,907.18604
2_20240831 08,952.08966
2_20240831 09,1060.4686
2_20240831 10,1176.7172
2_20240831 11,1175.5234
2_20240831 12,1187.449
2_20240831 13,1242.4615
2_20240831 14,1272.3834
2_20240831 15,1265.4639
2_20240831 16,1311.7136
2_20240831 17,1310.5841
2_20240831 18,1272.9508
2_20240831 19,1258.3516
2_20240831 20,1206.3809
2_20240831 21,1085.8046
2_20240831 22,847.71436
2_20240831 23,670.4209
3_20240825 00,2090.0833
3_20240825 01,1930.8184
3_20240825 02,1935.8499
3_20240825 03,1892.3203
3_20240825 04,1947.1647
3_20240825 05,2049.6733
3_20240825 06,2300.104
3_20240825 07,2928.4907
3_20240825 08,3476.9114
3_20240825 09,4152.7256
3_20240825 10,4451.067
3_20240825 11,4579.8257
3_20240825 12,4440.6875
3_20240825 13,4637.643
3_20240825 14,4719.8203
3_20240825 15,4636.422
3_20240825 16,4648.065
3_20240825 17,4155.7026
3_20240825 18,3846.78
3_20240825 19,3199.9958
3_20240825 20,2948.7507
3_20240825 21,2738.0403
3_20240825 22,2703.9553
3_20240825 23,2394.4238
3_20240826 00,2008.6678
3_20240826 01,1838.5398
3_20240826 02,1780.5332
3_20240826 03,1722.161
3_20240826 04,1785.6998
3_20240826 05,2010.3029
3_20240826 06,2191.5754
3_20240826 07,2706.1492
3_20240826 08,2958.476
3_20240826 09,3699.8777
3_20240826 10,3965.7156
3_20240826 11,4257.175
3_20240826 12,4179.958
3_20240826 13,4314.0044
3_20240826 14,4495.8604
3_20240826 15,4421.7544
3_20240826 16,4206.0146
3_20240826 17,3736.8823
3_20240826 18,3401.1213
3_20240826 19,2958.1145
3_20240826 20,2865.3745
3_20240826 21,2744.813
3_20240826 22,2543.9316
3_20240826 23,2230.2356
3_20240827 00,1904.5911
3_20240827 01,1776.8583
3_20240827 02,1705.4786
3_20240827 03,1678.7949
3_20240827 04,1741.165
3_20240827 05,1930.877
3_20240827 06,2075.8005
3_20240827 07,2636.9167
3_20240827 08,2980.3809
3_20240827 09,3605.0273
3_20240827 10,3562.318
3_20240827 11,3515.2083
3_20240827 12,3504.8105
3_20240827 13,3522.2317
3_20240827 14,3614.685
3_20240827 15,3833.846
3_20240827 16,3780.8743
3_20240827 17,3410.798
3_20240827 18,3160.4949
3_20240827 19,2773.9456
3_20240827 20,2503.7427
3_20240827 21,2375.4377
3_20240827 22,2213.7422
3_20240827 23,2102.319
3_20240828 00,1912.1674
3_20240828 01,1764.2961
3_20240828 02,1686.5577
3_20240828 03,1677.3513
3_20240828 04,1673.2933
3_20240828 05,1842.9792
3_20240828 06,1997.7715
3_20240828 07,2294.241
3_20240828 08,2692.1047
3_20240828 09,3260.4128
3_20240828 10,3570.566
3_20240828 11,3695.8638
3_20240828 12,3614.2458
3_20240828 13,3659.7312
3_20240828 14,3643.4626
3_20240828 15,3528.93
3_20240828 16,3612.936
3_20240828 17,3319.918
3_20240828 18,3188.2974
3_20240828 19,2811.9236
3_20240828 20,2605.6648
3_20240828 21,2467.5806
3_20240828 22,2366.6284
3_20240828 23,2083.2517
3_20240829 00,1733.2216
3_20240829 01,1615.8893
3_20240829 02,1531.0756
3_20240829 03,1591.1613
3_20240829 04,1672.7452
3_20240829 05,1773.2848
3_20240829 06,2048.4963
3_20240829 07,2317.0435
3_20240829 08,2707.7087
3_20240829 09,3355.785
3_20240829 10,3709.9836
3_20240829 11,3934.1013
3_20240829 12,3840.764
3_20240829 13,3930.7085
3_20240829 14,3831.496
3_20240829 15,3839.3843
3_20240829 16,3624.0515
3_20240829 17,3153.561
3_20240829 18,3128.0159
3_20240829 19,2881.519
3_20240829 20,2823.4739
3_20240829 21,2543.0024
3_20240829 22,2326.563
3_20240829 23,2011.3478
3_20240830 00,1834.7705
3_20240830 01,1742.3181
3_20240830 02,1625.0826
3_20240830 03,1647.2832
3_20240830 04,1757.2043
3_20240830 05,2001.9841
3_20240830 06,2110.8916
3_20240830 07,2427.1018
3_20240830 08,3123.7656
3_20240830 09,3868.8218
3_20240830 10,4281.941
3_20240830 11,4398.5894
3_20240830 12,4254.7915
3_20240830 13,4471.606
3_20240830 14,4452.562
3_20240830 15,4358.781
3_20240830 16,4237.3433
3_20240830 17,4045.6655
3_20240830 18,3634.8962
3_20240830 19,3463.512
3_20240830 20,3352.5862
3_20240830 21,2835.6975
3_20240830 22,2636.3894
3_20240830 23,2280.7053
3_20240831 00,1949.2502
3_20240831 01,1837.5696
3_20240831 02,1747.6144
3_20240831 03,1786.3864
3_20240831 04,1888.5195
3_20240831 05,2211.0063
3_20240831 06,2402.1265
3_20240831 07,2600.8015
3_20240831 08,2921.648
3_20240831 09,3586.1335
3_20240831 10,3873.5076
3_20240831 11,4287.102
3_20240831 12,4347.9966
3_20240831 13,4509.075
3_20240831 14,4514.782
3_20240831 15,4916.303
3_20240831 16,4545.0537
3_20240831 17,4086.1284
3_20240831 18,3747.699
3_20240831 19,3324.7795
3_20240831 20,3063.2356
3_20240831 21,2844.408
3_20240831 22,2735.974
3_20240831 23,2405.365
4_20240825 00,5765.7114
4_20240825 01,5173.8076
4_20240825 02,4744.6987
4_20240825 03,4589.241
4_20240825 04,4233.868
4_20240825 05,4516.157
4_20240825 06,4722.0493
4_20240825 07,5320.676
4_20240825 08,5677.176
4_20240825 09,6250.07
4_20240825 10,6776.907
4_20240825 11,6637.2446
4_20240825 12,6758.617
4_20240825 13,7106.47
4_20240825 14,7024.9307
4_20240825 15,7238.944
4_20240825 16,7310.304
4_20240825 17,7122.0947
4_20240825 18,7267.204
4_20240825 19,6668.4263
4_20240825 20,6584.081
4_20240825 21,5904.4243
4_20240825 22,6113.4595
4_20240825 23,6094.7266
4_20240826 00,5413.539
4_20240826 01,4784.446
4_20240826 02,4230.433
4_20240826 03,4016.216
4_20240826 04,3770.8462
4_20240826 05,3950.518
4_20240826 06,4183.421
4_20240826 07,4736.507
4_20240826 08,5136.7666
4_20240826 09,5964.168
4_20240826 10,6042.23
4_20240826 11,6168.302
4_20240826 12,6644.587
4_20240826 13,6902.118
4_20240826 14,6960.4756
4_20240826 15,6578.203
4_20240826 16,6221.687
4_20240826 17,6366.9097
4_20240826 18,5916.729
4_20240826 19,5851.404
4_20240826 20,6175.2744
4_20240826 21,5961.2456
4_20240826 22,5147.573
4_20240826 23,4838.285
4_20240827 00,4278.7866
4_20240827 01,4011.732
4_20240827 02,3764.6997
4_20240827 03,3487.2903
4_20240827 04,3452.1003
4_20240827 05,3619.5286
4_20240827 06,3920.4788
4_20240827 07,4200.7485
4_20240827 08,5003.7563
4_20240827 09,5531.2007
4_20240827 10,5881.528
4_20240827 11,5944.36
4_20240827 12,6244.419
4_20240827 13,6298.423
4_20240827 14,6272.4795
4_20240827 15,6481.325
4_20240827 16,6203.6606
4_20240827 17,6564.6226
4_20240827 18,5521.983
4_20240827 19,5068.4204
4_20240827 20,4583.379
4_20240827 21,4170.4116
4_20240827 22,3905.991
4_20240827 23,4177.763
4_20240828 00,3739.4275
4_20240828 01,3500.5486
4_20240828 02,3315.8142
4_20240828 03,3072.447
4_20240828 04,2843.0872
4_20240828 05,3126.879
4_20240828 06,3020.3823
4_20240828 07,3480.107
4_20240828 08,4901.2856
4_20240828 09,5466.77
4_20240828 10,6336.6196
4_20240828 11,6438.524
4_20240828 12,6688.053
4_20240828 13,7173.0425
4_20240828 14,7146.2876
4_20240828 15,7068.6826
4_20240828 16,6743.714
4_20240828 17,6991.474
4_20240828 18,5849.429
4_20240828 19,5691.312
4_20240828 20,5669.5786
4_20240828 21,5156.6016
4_20240828 22,4445.9
4_20240828 23,4500.9404
4_20240829 00,3884.134
4_20240829 01,3552.449
4_20240829 02,3430.6013
4_20240829 03,3196.9348
4_20240829 04,2921.7957
4_20240829 05,2955.7644
4_20240829 06,3187.8599
4_20240829 07,3428.6606
4_20240829 08,4761.931
4_20240829 09,5850.7983
4_20240829 10,6613.349
4_20240829 11,6723.4966
4_20240829 12,6914.973
4_20240829 13,6976.514
4_20240829 14,6440.529
4_20240829 15,6571.396
4_20240829 16,5879.7
4_20240829 17,6209.937
4_20240829 18,6155.9883
4_20240829 19,5857.4575
4_20240829 20,5575.496
4_20240829 21,5427.814
4_20240829 22,4899.142
4_20240829 23,4455.6255
4_20240830 00,4416.378
4_20240830 01,3981.0288
4_20240830 02,3746.0613
4_20240830 03,3523.7886
4_20240830 04,3276.4585
4_20240830 05,3337.5793
4_20240830 06,3837.257
4_20240830 07,4395.3765
4_20240830 08,5510.5425
4_20240830 09,7000.9077
4_20240830 10,7479.7188
4_20240830 11,7102.5044
4_20240830 12,7275.101
4_20240830 13,7581.4688
4_20240830 14,7568.694
4_20240830 15,7557.7188
4_20240830 16,7436.189
4_20240830 17,7594.9985
4_20240830 18,7631.347
4_20240830 19,7499.325
4_20240830 20,7305.3506
4_20240830 21,6550.583
4_20240830 22,5922.6396
4_20240830 23,5701.296
4_20240831 00,4522.2085
4_20240831 01,3835.5796
4_20240831 02,3621.5059
4_20240831 03,3442.9895
4_20240831 04,3211.8862
4_20240831 05,3389.201
4_20240831 06,3571.1282
4_20240831 07,4178.512
4_20240831 08,5273.548
4_20240831 09,5714.7227
4_20240831 10,5751.8594
4_20240831 11,6459.403
4_20240831 12,6525.7495
4_20240831 13,6869.104
4_20240831 14,6832.9287
4_20240831 15,7591.8594
4_20240831 16,7235.65
4_20240831 17,7059.134
4_20240831 18,7185.4336
4_20240831 19,7491.6606
4_20240831 20,7238.409
4_20240831 21,6638.843
4_20240831 22,6143.7856
4_20240831 23,5471.096
5_20240825 00,736.3139
5_20240825 01,648.0504
5_20240825 02,603.7018
5_20240825 03,575.4316
5_20240825 04,573.83
5_20240825 05,634.11804
5_20240825 06,794.0252
5_20240825 07,865.13586
5_20240825 08,935.80634
5_20240825 09,973.6403
5_20240825 10,1056.2968
5_20240825 11,1006.21844
5_20240825 12,1007.90955
5_20240825 13,1002.97406
5_20240825 14,1022.3134
5_20240825 15,1044.704
5_20240825 16,1100.0055
5_20240825 17,1133.9504
5_20240825 18,1152.9689
5_20240825 19,1128.9194
5_20240825 20,1118.6818
5_20240825 21,1009.81354
5_20240825 22,967.4804
5_20240825 23,876.04144
5_20240826 00,679.11945
5_20240826 01,587.7914
5_20240826 02,551.12823
5_20240826 03,535.915
5_20240826 04,549.4153
5_20240826 05,598.3577
5_20240826 06,736.666
5_20240826 07,817.9229
5_20240826 08,894.5524
5_20240826 09,950.28876
5_20240826 10,1027.0404
5_20240826 11,1022.6583
5_20240826 12,990.1056
5_20240826 13,990.6048
5_20240826 14,1028.9818
5_20240826 15,1053.7224
5_20240826 16,1066.9451
5_20240826 17,1104.4655
5_20240826 18,1084.9442
5_20240826 19,1081.8666
5_20240826 20,1077.0878
5_20240826 21,935.5348
5_20240826 22,844.0791
5_20240826 23,772.38196
5_20240827 00,656.213
5_20240827 01,568.7671
5_20240827 02,527.1801
5_20240827 03,523.27686
5_20240827 04,544.9974
5_20240827 05,590.92004
5_20240827 06,755.5894
5_20240827 07,815.52234
5_20240827 08,919.4887
5_20240827 09,988.8717
5_20240827 10,1040.7051
5_20240827 11,1038.3002
5_20240827 12,1001.3302
5_20240827 13,1016.5597
5_20240827 14,1010.5807
5_20240827 15,1051.6317
5_20240827 16,1102.9841
5_20240827 17,1109.6356
5_20240827 18,1084.7041
5_20240827 19,1056.348
5_20240827 20,1030.1481
5_20240827 21,879.7703
5_20240827 22,792.4081
5_20240827 23,667.0958
5_20240828 00,578.5931
5_20240828 01,495.91623
5_20240828 02,458.4874
5_20240828 03,452.08685
5_20240828 04,457.78787
5_20240828 05,528.26154
5_20240828 06,678.7803
5_20240828 07,758.90753
5_20240828 08,825.9755
5_20240828 09,939.1589
5_20240828 10,996.11755
5_20240828 11,966.2242
5_20240828 12,977.7734
5_20240828 13,1003.8869
5_20240828 14,1000.95087
5_20240828 15,1072.6683
5_20240828 16,1096.2681
5_20240828 17,1082.9832
5_20240828 18,1071.4388
5_20240828 19,1047.6986
5_20240828 20,1029.702
5_20240828 21,954.35944
5_20240828 22,856.85
5_20240828 23,778.1312
5_20240829 00,621.2093
5_20240829 01,447.82205
5_20240829 02,401.21713
5_20240829 03,395.52756
5_20240829 04,400.51495
5_20240829 05,430.13544
5_20240829 06,535.5367
5_20240829 07,643.90155
5_20240829 08,699.78656
5_20240829 09,943.38336
5_20240829 10,1027.3782
5_20240829 11,1066.5865
5_20240829 12,1021.9465
5_20240829 13,1054.8417
5_20240829 14,1099.8728
5_20240829 15,1083.1913
5_20240829 16,964.1644
5_20240829 17,1108.3556
5_20240829 18,1109.8855
5_20240829 19,1156.6486
5_20240829 20,1139.1414
5_20240829 21,1032.0675
5_20240829 22,926.45667
5_20240829 23,835.0586
5_20240830 00,689.6871
5_20240830 01,596.4541
5_20240830 02,544.7458
5_20240830 03,514.81354
5_20240830 04,532.50507
5_20240830 05,567.08344
5_20240830 06,762.60614
5_20240830 07,839.3156
5_20240830 08,910.2167
5_20240830 09,981.5147
5_20240830 10,1019.7801
5_20240830 11,1017.9834
5_20240830 12,985.8062
5_20240830 13,1004.1671
5_20240830 14,1021.47754
5_20240830 15,1026.0446
5_20240830 16,1057.029
5_20240830 17,1087.7559
5_20240830 18,1084.7477
5_20240830 19,1056.6003
5_20240830 20,1044.8827
5_20240830 21,958.71124
5_20240830 22,872.39734
5_20240830 23,779.78424
5_20240831 00,645.66907
5_20240831 01,570.23914
5_20240831 02,504.98636
5_20240831 03,452.2701
5_20240831 04,458.36752
5_20240831 05,541.1646
5_20240831 06,667.8061
5_20240831 07,739.3288
5_20240831 08,899.7159
5_20240831 09,945.81836
5_20240831 10,987.939
5_20240831 11,928.9167
5_20240831 12,917.33734
5_20240831 13,989.1017
5_20240831 14,1006.9884
5_20240831 15,1025.7083
5_20240831 16,1045.7554
5_20240831 17,1084.8112
5_20240831 18,1063.6088
5_20240831 19,1044.365
5_20240831 20,1041.6033
5_20240831 21,942.20654
5_20240831 22,833.58655
5_20240831 23,751.9199
6_20240825 00,1320.9961
6_20240825 01,1302.3573
6_20240825 02,1306.4315
6_20240825 03,1299.4242
6_20240825 04,1286.3586
6_20240825 05,1234.7316
6_20240825 06,1299.8503
6_20240825 07,1682.7008
6_20240825 08,1940.546
6_20240825 09,1717.6191
6_20240825 10,1901.2174
6_20240825 11,1736.5059
6_20240825 12,1732.7975
6_20240825 13,1764.3083
6_20240825 14,1868.8043
6_20240825 15,2001.7467
6_20240825 16,2064.513
6_20240825 17,1874.8336
6_20240825 18,1658.4408
6_20240825 19,1523.7483
6_20240825 20,1474.8273
6_20240825 21,1448.441
6_20240825 22,1228.3186
6_20240825 23,1234.5383
6_20240826 00,1274.8633
6_20240826 01,1242.2947
6_20240826 02,1237.9368
6_20240826 03,1279.8817
6_20240826 04,1292.5231
6_20240826 05,1228.778
6_20240826 06,1296.8119
6_20240826 07,1601.5712
6_20240826 08,1957.941
6_20240826 09,1751.1572
6_20240826 10,1884.5872
6_20240826 11,1732.1956
6_20240826 12,1694.7731
6_20240826 13,1780.0254
6_20240826 14,1757.2263
6_20240826 15,1842.4113
6_20240826 16,1936.928
6_20240826 17,1789.8385
6_20240826 18,1562.0509
6_20240826 19,1410.5645
6_20240826 20,1366.0883
6_20240826 21,1295.5692
6_20240826 22,1004.1783
6_20240826 23,901.96765
6_20240827 00,1045.0695
6_20240827 01,1281.7552
6_20240827 02,1235.1659
6_20240827 03,1259.328
6_20240827 04,1231.9069
6_20240827 05,1243.5416
6_20240827 06,1262.2802
6_20240827 07,1373.2831
6_20240827 08,1709.5022
6_20240827 09,1746.1718
6_20240827 10,1878.9785
6_20240827 11,1700.7129
6_20240827 12,1682.0919
6_20240827 13,1701.4276
6_20240827 14,1780.942
6_20240827 15,1836.288
6_20240827 16,1976.0938
6_20240827 17,1870.4631
6_20240827 18,1552.399
6_20240827 19,1510.4191
6_20240827 20,1470.4775
6_20240827 21,1356.549
6_20240827 22,1169.977
6_20240827 23,1121.2457
6_20240828 00,1221.174
6_20240828 01,1296.5521
6_20240828 02,1236.3812
6_20240828 03,1183.9257
6_20240828 04,1148.8889
6_20240828 05,1157.9463
6_20240828 06,1120.9728
6_20240828 07,1244.8699
6_20240828 08,1475.5823
6_20240828 09,1558.365
6_20240828 10,1733.0951
6_20240828 11,1729.7405
6_20240828 12,1622.7391
6_20240828 13,1657.3596
6_20240828 14,1678.0459
6_20240828 15,1759.9475
6_20240828 16,1770.8967
6_20240828 17,1655.9384
6_20240828 18,1424.9407
6_20240828 19,1395.5176
6_20240828 20,1312.1301
6_20240828 21,1291.8302
6_20240828 22,1173.3899
6_20240828 23,1133.6571
6_20240829 00,1197.8131
6_20240829 01,1179.0411
6_20240829 02,1097.537
6_20240829 03,1064.0085
6_20240829 04,1040.2227
6_20240829 05,968.8956
6_20240829 06,996.73816
6_20240829 07,1206.0851
6_20240829 08,1453.3254
6_20240829 09,1548.4316
6_20240829 10,1775.9304
6_20240829 11,1598.7589
6_20240829 12,1576.6678
6_20240829 13,1709.4658
6_20240829 14,1802.922
6_20240829 15,1746.7024
6_20240829 16,1834.3845
6_20240829 17,1722.2467
6_20240829 18,1556.4369
6_20240829 19,1568.9916
6_20240829 20,1554.6576
6_20240829 21,1552.386
6_20240829 22,1385.4934
6_20240829 23,1277.2081
6_20240830 00,1238.5026
6_20240830 01,1260.6794
6_20240830 02,1190.5916
6_20240830 03,1151.4752
6_20240830 04,1138.7291
6_20240830 05,1111.5627
6_20240830 06,1146.4929
6_20240830 07,1306.2479
6_20240830 08,1645.3806
6_20240830 09,1615.1035
6_20240830 10,1770.2772
6_20240830 11,1722.5074
6_20240830 12,1669.8551
6_20240830 13,1701.1329
6_20240830 14,1740.0042
6_20240830 15,1834.0665
6_20240830 16,1960.0715
6_20240830 17,1778.3429
6_20240830 18,1661.2428
6_20240830 19,1563.4836
6_20240830 20,1495.7438
6_20240830 21,1359.0458
6_20240830 22,1173.2646
6_20240830 23,1230.3425
6_20240831 00,1225.5554
6_20240831 01,1155.2225
6_20240831 02,1221.9084
6_20240831 03,1192.9283
6_20240831 04,1184.0321
6_20240831 05,1163.6416
6_20240831 06,1204.3616
6_20240831 07,1430.5814
6_20240831 08,1786.5138
6_20240831 09,1752.599
6_20240831 10,1829.7064
6_20240831 11,1756.7489
6_20240831 12,1749.5629
6_20240831 13,1827.2394
6_20240831 14,1870.7008
6_20240831 15,2043.6385
6_20240831 16,2165.6392
6_20240831 17,2000.6124
6_20240831 18,1807.454
6_20240831 19,1719.6678
6_20240831 20,1706.9127
6_20240831 21,1600.6652
6_20240831 22,1444.7776
6_20240831 23,1357.0328
7_20240825 00,1288.7976
7_20240825 01,1239.5814
7_20240825 02,1227.5765
7_20240825 03,1221.643
7_20240825 04,1232.8287
7_20240825 05,1337.6517
7_20240825 06,1468.571
7_20240825 07,1610.0012
7_20240825 08,1780.4581
7_20240825 09,1894.85
7_20240825 10,2173.2622
7_20240825 11,2339.2146
7_20240825 12,2259.4307
7_20240825 13,2420.067
7_20240825 14,2297.5608
7_20240825 15,2412.6096
7_20240825 16,2320.3162
7_20240825 17,2404.8542
7_20240825 18,2177.68
7_20240825 19,2195.2563
7_20240825 20,1926.2776
7_20240825 21,1775.1052
